CRS_CDE,DIV_CDE,INSTIT_DIV_CDE,CRS_TITLE,CRS_TITLE_2,SHORT_CRS_TITLE_1,SHORT_CRS_TITLE_2,DFLT_CREDIT_HRS,ACTIVE_INACTIVE_ST,FIXED_VAR_CREDIT,LOAD_CONTACT_HRS,CRS_REPEATABLE,GRADE_SCALE_CDE,TUITION_CDE,DTE_APPROVED,INACT_DISCONT_DTE,PREREQ_CDE,ADV_REQ_CDE,SCHOOL_CDE,IPEDS_CIP_CDE,MAX_ENROLL_DFLT,MIN_ENROLL_DFL,CATALOG_TEXT,ADD_TO_SPECIAL_GPA,CRS_CLOCK_HRS,FIXED_VAR_CLOCK,LECTURE_HRS,LECTURE_LAB_HRS,LAB_HRS,CREDIT_TYPE_CDE,HRS_TOWARD_DEGRE,PUBLIC_REGISTRATION,CRS_CAPACITY_DFLT,CRS_AUTHORIZATION_REQ,MUST_PAY,LOC_CDE,MIN_CREDIT_HRS,MAX_CREDIT_HRS,FLEXIBLY_SCHEDULED_CRS,IPEDS_HOUR_TYPE,PESC_COURSE_LEVEL_CDE,VARIABLE_GRADE_TYPE,DISTANCE_EDUCATION,CATALOG_RECORD_FOR_LAB_REPEAT,LAB_REPEATABLE,DEVELOPMENTAL_CRS,INTER_INSTITUTIONAL,DUAL_ENROLLMENT_ALLOWED,IN_DISTRICT,STATE_FUNDED,EXCLUDE_FROM_DROP_LIMIT,EXCLUDE_FROM_REPEAT_LIMIT,NUMBER_OF_WEEKS,SELF_PACED,DEV_PERFORMANCE_CRS,TIMES_MAY_BE_TAKEN,ATTENDANCE_CENSUS_DATE_EXCLUDED,ATTENDANCE_CHECKPOINT_EXCLUDED,ESOL_COURSE,GOID,GRADING_METHOD,CENSUS_METHOD,UDEF_1A_1,APPROWVERSION,USER_NAME,JOB_NAME,JOB_TIME,File_Name,Snapshot_Date
"KINE 3307","UG","E","Health Education","","Health Ed","",3,"A","F",0,"Y","CU","","","","","PHED3307","",131314,0,0,"","Y",0,"F",0,0,0,"RG",3,"N",0,"N","N","",3,3,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",0,"N","N","N",1000179,"N","D","",7471686537,"MJACKSON","w_def_catalog",2014-04-11 10:23:24.943,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"KINE 3320","UG","E","Individual and Group Activities For","","Indiv Group Act","",3,"A","F",0,"Y","CU","","","","","PHED3320","",131314,0,0,"","Y",0,"F",0,0,0,"RG",3,"N",0,"N","N","",3,3,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",0,"N","N","N",1000180,"N","D","",7471686538,"MJACKSON","w_def_catalog",2014-04-11 06:10:28.103,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"KINE 3322","UG","E","Recreation Leadership","","Recreation Lead","",0,"A","F",0,"Y","CU","","","","","PHED3322","",131314,0,0,"","Y",0,"F",0,0,0,"",0,"N",0,"N","N","",0,0,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",0,"N","N","N",1000181,"N","D","",7471686539,"MJACKSON","w_def_catalog",2014-04-11 06:12:13.280,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"KINE 3334","UG","E","Adapted Physical Education","","AdapatedPhys Ed","",3,"A","F",0,"Y","CU","","","","","PHED3334","",131314,0,0,"","Y",0,"F",0,0,0,"RG",3,"N",0,"N","N","",3,3,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",0,"N","N","N",1000182,"N","D","",7471686540,"MJACKSON","w_def_catalog",2014-04-11 06:20:22.676,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"KINE 3385","UG","E","Coaching Team Sports","","CoachTeam Sport","",3,"A","F",0,"Y","CU","","","","","PHED3385","",131314,0,0,"","Y",0,"F",0,0,0,"RG",3,"N",0,"N","N","",3,3,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",0,"N","N","N",1000183,"N","D","",7471686541,"MJACKSON","w_def_catalog",2014-04-11 07:20:24.093,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"KINE 4301","UG","E"," Field Experience in Physical","","Field Exp Physi","",3,"A","F",0,"Y","CU","","","","","PHED4301","",131314,0,0,"","Y",0,"F",0,0,0,"RG",3,"N",0,"N","N","",3,3,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",0,"N","N","N",1000184,"N","D","",7471686542,"MJACKSON","w_def_catalog",2014-04-11 07:22:29.376,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"KINE 4316","UG","E","Measurement & Evaluation in Phy Ed","","MeasureEvPhyEd","",3,"A","F",0,"Y","CU","","","","","PHED4316","",131314,0,0,"","Y",0,"F",0,0,0,"RG",3,"N",0,"N","N","",3,3,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",0,"N","N","N",1000185,"N","D","",7471684397,"MJACKSON","w_def_catalog",2014-04-11 07:31:31.786,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"KINE 4327","UG","E","Organization & Admin of Phy Ed","","Organ Admin Phy","",3,"A","F",0,"Y","CU","","","","","PHED4327","",131314,0,0,"","Y",0,"F",0,0,0,"RG",3,"N",0,"N","N","",3,3,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",0,"N","N","N",1000186,"N","D","",7471684398,"MJACKSON","w_def_catalog",2014-04-11 07:34:20.166,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"KINE 4379","UG","E","Physical and Recreational Activity","","Phys Rec Act","",3,"A","F",0,"Y","CU","","","","","PHED4379","",131314,0,0,"","Y",0,"F",0,0,0,"RG",3,"N",0,"N","N","",3,3,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",0,"N","N","N",1000187,"N","D","",7471684399,"MJACKSON","w_def_catalog",2014-04-11 07:35:58.443,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"ACT  431","UG","B","Auditing","","Auditing","",3,"I","F",3,"Y","CU","","","","","ACT431","",520305,0,0,"","Y",0,"F",0,0,0,"",0,"N",0,"N","N","",0,0,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",3,"N","N","N",1000234,"N","D","X",7471684446,"WILEYsa","DATA CONVERSION",1999-12-22 05:22:00.000,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"ACT  433","UG","B","Accounting Information Systems","","Acc Inf Sys","",3,"I","F",3,"Y","CU","","","","","ACT433","",520305,0,0,"","Y",0,"F",0,0,0,"",0,"N",0,"N","N","",0,0,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",3,"N","N","N",1000236,"N","D","X",7471684448,"TE_ADMIN","w_def_catalog",2001-09-28 17:32:00.000,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"ART  332","UG","H","Special Topics","","Special Topics","",3,"I","F",3,"Y","CU","","","","","ART332","",,0,0,"","Y",0,"F",0,0,0,"",0,"N",0,"N","N","",0,0,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",3,"N","N","N",1000251,"N","D","X",7471684463,"WILEYsa","DATA CONVERSION",1999-12-22 05:22:00.000,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"BIO  140","UG","AS","Introduction To Biological Science","","Intro-Bio. Sci.","",4,"I","F",4,"Y","CU","","","","","BIO140","",260101,0,0,"","Y",0,"F",0,0,0,"",0,"N",0,"N","N","",0,0,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",3,"N","N","N",1000265,"N","D","X",7471684477,"CHANKS","w_def_catalog",2002-10-08 09:10:00.000,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
"BIO  241","UG","AS","General Biology I","","Gen Bio I","",4,"I","F",4,"Y","CU","","","","","BIO241","",260101,0,0,"","Y",0,"F",0,0,0,"",0,"N",0,"N","N","",0,0,"N","C","","N","N","N","N","N","N","N","Y","N","N","N",0,"N","N",3,"N","N","N",1000269,"N","D","X",7471685911,"CHANKS","w_def_catalog",2002-10-08 09:12:00.000,"dbfs:/mnt/adl/source-data/Snapshot/J1/CATALOG_MASTER/CATALOG_MASTER_202510230810.json.gz",2025-10-22 19:00:00.000
