FEE_CDE,TABLE_CDE_1,COLUMN_CDE_1,TABLE_CDE_2,COLUMN_CDE_2,ELEMENT_USAGE_2,TABLE_CDE_3,COLUMN_CDE_3,ELEMENT_USAGE_3,TABLE_CDE_4,COLUMN_CDE_4,ELEMENT_USAGE_4,CHG_TYPE,CHG_DEF_DESC,CHG_INC_CRSNUM_DES,APPLY_TO_THIRD_PTY,ELIG_1098T,ACTIVE,INCLUDE_BILLING_PERIOD_DESC,EXEMPTION_WAIVER,GE_TUITION_FEE,TUITION_ONLY_FEE,APPROWVERSION,USER_NAME,JOB_NAME,JOB_TIME,File_Name,Snapshot_Date
"BI","STUD_LIFE_CHGS","SESS_CDE","STUD_LIFE_CHGS","BLDG_CDE","","STUD_HOURS_CRS","HRS_CRS_CNT_1","N","","","","S","Boarding Charges","N","N","","Y","N","N","N","N",8057441121,"ACJONES","w_mdi_charges",2025-01-17 04:23:53.470,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"BK","STUDENT_MASTER","CUR_STUD_DIV","STUD_HOURS_CRS","HRS_CRS_CNT_1","N","","","","","","","S","Books","N","N","","Y","N","N","N","N",8057441113,"KMCLEMORE","w_mdi_charges",2011-01-27 10:46:12.316,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"BW","STUDENT_MASTER","CUR_STUD_DIV","STUD_HOURS_CRS","HRS_CRS_CNT_2","N","","","","","","","S","Books Wiley Management Institute","N","N","","Y","N","N","N","N",8057441114,"KMCLEMORE","w_mdi_charges",2011-01-27 10:46:23.126,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"CP","STUDENT_MASTER","CUR_STUD_DIV","STUD_HOURS_CRS","HRS_CRS_CNT_3","N","","","","","","","S","Portfolio Hours","N","N","C","Y","N","N","N","N",8057441115,"AHEIN","w_mdi_charges",2008-05-23 10:41:22.956,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"GF","STUDENT_MASTER","CUR_STUD_DIV","STUDENT_MASTER","TEL_WEB_GRP_CDE","","STUD_HOURS_CRS","HRS_CRS_CNT_1","N","","","","S","General Fees","N","N","C","Y","N","N","N","N",8057441122,"tculberson","w_mdi_charges",2019-08-23 10:51:17.453,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"LC","STUDENT_MASTER","CUR_STUD_DIV","STUDENT_MASTER","TUITION_CDE","","STUDENT_MASTER","UDEF_1A_1","","","","","C","Late Charges","N","N","","Y","N","N","N","N",2460541798,"LSJUSTICE","w_mdi_charges",2012-09-13 06:39:31.486,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"LF","STUDENT_MASTER","CUR_STUD_DIV","STUD_HOURS_CRS","HRS_CRS_CNT_1","N","","","","","","","S","Laptop Fee","N","N","C","Y","N","N","N","N",8057441116,"IJENKINS","w_mdi_charges",2003-10-14 04:19:37.406,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"LH","STUDENT_MASTER","GRP_REG_CDE","STUDENT_CRS_HIST_V","CREDIT_HRS","N","","","","","","","C","Learning House Charge","N","N","C","Y","N","N","N","N",8057441117,"KMCLEMORE","w_mdi_charges",2010-03-16 07:00:21.030,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"OT","STUDENT_MASTER","CUR_STUD_DIV","STUDENT_MASTER","TEL_WEB_GRP_CDE","","STUDENT_CRS_HIST_V","TRANSACTION_STS","","STUDENT_CRS_HIST_V","CREDIT_HRS","N","C","Online Courses","Y","N","C","Y","N","N","N","N",8057441133,"mmhenderson","w_mdi_charges",2020-05-26 05:34:31.103,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"PA","STUDENT_CRS_HIST_V","BILLING_STS","STUDENT_MASTER","TEL_WEB_GRP_CDE","","STUDENT_CRS_HIST_V","CREDIT_HRS","N","","","","C","Adult Degree Completion","Y","N","C","Y","N","N","N","N",8057441123,"tculberson","w_mdi_charges",2021-08-26 11:34:50.980,"dbfs:/mnt/adl/source-data/Snapshot/J1/CHG_DEF/CHG_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
