CREDIT_TYPE_CDE,CREDIT_TYPE_DESC,EXCL_FRM_PT_FT_HRS,EXCLUDE_FRM_FA_HRS,EXCLUDE_FRM_FA_GPA_HRS,AUDIT_CREDIT_TYPE,FORGIVEN_COURSE_RECALC_DEF_APPID,NOT_FORGIVEN_COURSE_RECALC_DEF_APPID,APPROWVERSION,USER_NAME,JOB_NAME,JOB_TIME,File_Name,Snapshot_Date
"AP","Advanced Placement","Y","N","N","N",-1,-2,7157206463,"CHANKS","W_CREDIT_TYPE",2002-09-10 18:26:41.213,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"AU","Audit","Y","N","N","N",-1,-2,7157206464,"TE_ADMIN","W_CREDIT_TYPE",1999-09-08 08:53:13.896,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"CE","Continuing Education","N","N","N","N",-1,-2,7157206465,"TE_ADMIN","W_CREDIT_TYPE",1999-09-08 08:53:13.896,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"CL","Clep","Y","N","N","N",-1,-2,7157206466,"CHANKS","W_CREDIT_TYPE",2003-06-10 07:36:32.170,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"CR","Credit by Exam or PLA","Y","N","N","N",-1,-2,7157206467,"TCULBERSON","w_def_credit_type",2015-08-21 08:14:50.703,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"DE","Degree Earned","Y","N","N","N",-1,-2,7157206468,"LESTES","w_def_credit_type",2012-10-04 06:56:24.746,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"DV","Developmental","N","N","N","N",-1,-2,7157206469,"CHANKS","W_CREDIT_TYPE",2004-04-26 07:27:35.460,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"EX","Exempt from course passed exam","N","N","N","N",-1,-2,7157206470,"SROBINSON","W_CREDIT_TYPE",2001-05-05 05:19:10.370,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"LA","Life Assessment","Y","N","N","N",-1,-2,7157206471,"AHEIN","w_def_credit_type",2008-06-03 06:45:38.016,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"PF","Pass/Fail","N","N","N","N",-1,-2,7157206472,"TE_ADMIN","W_CREDIT_TYPE",1999-09-08 08:53:13.896,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"RG","Regular","N","N","N","N",-1,-2,7157206473,"TE_ADMIN","W_CREDIT_TYPE",1999-09-08 08:53:13.896,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"TC","Teacher Certification","N","N","N","N",-1,-2,7157206474,"TE_ADMIN","W_CREDIT_TYPE",1999-09-08 08:53:13.906,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
"TR","Transfer Work","Y","N","N","N",-1,-2,7157206475,"JCARPENTER","W_CREDIT_TYPE",2000-02-29 01:49:31.053,"dbfs:/mnt/adl/source-data/Snapshot/J1/CREDIT_TYPE_DEF/CREDIT_TYPE_DEF_202510230808.json.gz",2025-10-22 19:00:00.000
