Term,TRM_DESC,TRM_TYPE_IDENT,TRM_SORT_ORDER,APPROWVERSION,USER_NAME,JOB_NAME,JOB_TIME,File_Name,Snapshot_Date,Term Display
"10","Fall","S",80,132095282,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"10 - Fall"
"11","Fall Transfer","S",10,132106453,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"11 - Fall Transfer"
"12","Fall Transfer","S",15,132106578,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"12 - Fall Transfer"
"13","Fall Transfer","S",20,132106580,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"13 - Fall Transfer"
"20","Advanced Placement","S",115,132106583,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"20 - Advanced Placement"
"30","Spring","S",95,132106585,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"30 - Spring"
"31","Spring Transfer","S",25,132107388,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"31 - Spring Transfer"
"32","Spring Transfer","S",30,132107399,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"32 - Spring Transfer"
"33","Spring Transfer","S",35,132107400,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"33 - Spring Transfer"
"51","Summer Transfer","S",40,132107711,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"51 - Summer Transfer"
"52","Summer Transfer","S",45,132107814,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"52 - Summer Transfer"
"53","Summer Transfer","S",50,132107815,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"53 - Summer Transfer"
"54","CPL","S",120,132107817,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"54 - CPL"
"60","Summer  II","S",105,132107819,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"60 - Summer  II"
"70","Summer III","S",110,132107824,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"70 - Summer III"
"80","Winter Intersession","S",85,132107829,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"80 - Winter Intersession"
"90","WMI Transfer","S",55,132107830,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"90 - WMI Transfer"
"91","WMI Transfer","S",60,132108374,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"91 - WMI Transfer"
"92","WMI CLEP","S",65,132108428,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"92 - WMI CLEP"
"93","WMI CPL","S",70,132108433,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"93 - WMI CPL"
"94","CLEP","S",75,132108434,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"94 - CLEP"
"A1","OMP 1st Sem. A1","S",135,132108437,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"A1 - OMP 1st Sem. A1"
"A2","OMP 2nd Sem. A2","S",140,132108444,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"A2 - OMP 2nd Sem. A2"
"A3","OMP 3rd Sem. A3","S",145,132108446,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"A3 - OMP 3rd Sem. A3"
"B1","OMP 1st Sem. B1","S",150,132108448,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"B1 - OMP 1st Sem. B1"
"B2","OMP 2nd Sem. B2","S",155,132108460,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"B2 - OMP 2nd Sem. B2"
"B3","OMP 3rd Sem. B3","S",160,132108461,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"B3 - OMP 3rd Sem. B3"
"C1","OMP 1st Sem. C1","S",165,132108462,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"C1 - OMP 1st Sem. C1"
"C2","OMP 2nd Sem. C2","S",170,132108469,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"C2 - OMP 2nd Sem. C2"
"C3","OMP 3rd Sem. C3","S",175,132108470,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"C3 - OMP 3rd Sem. C3"
"D1","OMP 1st Sem. D1","S",180,132108471,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"D1 - OMP 1st Sem. D1"
"D2","OMP 2nd Sem. D2","S",185,132108477,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"D2 - OMP 2nd Sem. D2"
"D3","OMP 3rd Sem. D3","S",190,132108478,"LKLANDER","w_def_term",2015-10-16 03:39:11.960,"dbfs:/mnt/adl/source-data/Snapshot/J1/TERM_DEF/TERM_DEF_202510230811.json.gz",2025-10-22 19:00:00.000,"D3 - OMP 3rd Sem. D3"
