Year,YR_DESC,YR_SORT_ORDER,APPROWVERSION,USER_NAME,JOB_NAME,JOB_TIME,File_Name,Snapshot_Date
1916,1916 Academic Year,2,10042803,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1938,1938 Academic Year,3,10042804,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1946,1946-1947 Academic Year,4,10042805,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1947,1947-1948 Academic Year,5,10042806,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1948,1948-1949 Academic Year,6,10042807,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1949,1949-1950 Academic Year,7,10042808,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1950,1950-1951 Academic Year,8,10042809,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1951,1951-1952 Academic Year,9,10042810,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1952,1952-1953 Academic Year,10,10042811,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1953,1953-1954 Academic Year,11,10042812,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1954,1954-1955 Academic Year,12,10042813,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1955,1955-1956 Academic Year,13,10042814,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1956,1956-1957 Academic Year,14,10042815,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1957,1957-1958 Academic Year,15,10042816,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1958,1958-1959 Academic Year,16,10042817,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1959,1959-1960 Academic Year,17,10042818,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1960,1960-1961 Academic Year,18,10042819,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1961,1961-1962 Academic Year,19,10042820,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1962,1962-1963 Academic Year,20,10042821,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1963,1963-1964 Academic Year,21,10042822,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1964,1964-1965 Academic Year,22,10042823,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1965,1965-1966 Academic Year,23,10042824,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1966,1966-1967 Academic Year,24,10042825,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1967,1967-1968 Academic Year,25,10042826,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1968,1968-1969 Academic Year,26,10042827,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
1969,1969-1970 Academic Year,27,10042828,AHEIN,w_def_year,2010-07-26 12:47:34.623,dbfs:/mnt/adl/source-data/Snapshot/J1/YEAR_DEF/YEAR_DEF_202511090915.json.gz,2025-11-08 18:00:00.000
