APPID,ID_NUM,DIV_CDE,Year,Term,TRANSACTION_STS,ADVISOR_ID_NUM_1,ADVISOR_ID_NUM_2,ADVISOR_ID_NUM_3,DEGREE_CDE,MAJOR_1,MAJOR_2,MINOR_1,ACADEMIC_HONORS,ACADEMIC_PROBATION,CLASS_CDE,HRS_ENROLLED,NUM_OF_CRS,PT_FT_HRS,PT_FT_STS,PROBATION_HR_TOTAL,HONORS_HR_TOTAL,GRA_INEL_FOR_HONOR,LAST_DTE_OF_ATTEND,XFER_HRS_ATTEMPTED,XFER_HRS_EARNED,XFER_HRS_GPA,XFER_QUAL_PTS,XFER_GPA,LOCAL_HRS_ATTEMPT,LOCAL_HRS_EARNED,LOCAL_HRS_GPA,LOCAL_QUAL_PTS,LOCAL_GPA,CAREER_HRS_ATTEMPT,CAREER_HRS_EARNED,CAREER_HRS_GPA,CAREER_QUAL_PTS,CAREER_GPA,TRM_HRS_ATTEMPT,TRM_HRS_EARNED,TRM_HRS_GPA,TRM_QUAL_PTS,TRM_GPA,SNAPSHOT_TAKEN
84912,131828,UG,2020,10,D,,,,BBA,BOMG,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
84913,131606,UG,2020,10,D,,,,BBA,BOMG,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
84925,131622,UG,2020,10,D,,,,BS,BIO,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
84926,128916,UG,2020,10,D,,,,BS,BIO,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
84928,128606,UG,2020,10,D,,,,BBA,BUADM,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
84929,133195,UG,2020,10,D,,,,BS,PEEDU,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
84930,125950,UG,2020,10,D,,,,BS,SECLS,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
84931,127677,UG,2020,10,D,,,,BA,MASCO,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
84935,131444,UG,2020,10,D,,,,BBA,BUADM,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
84936,131617,UG,2020,10,D,,,,BBA,BUADM,,,,,0,0,0,0,,0,0,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
